month,total_inflows,total_outflows,net_cash_flow,closing_balance,lowest_balance
2017-07-01,526817.43,603680.9211833333,-76863.49118333327,423136.5088166668,268652.34476666676
2017-08-01,626912.9400000001,678736.3918333333,-51823.45183333333,371313.05698333343,207858.19768333342
2017-09-01,726778.3,730017.5467,-3239.2466999999597,368073.81028333347,189943.84375000017
2017-10-01,765717.6799999999,779943.2815333332,-14225.601533333296,353848.2087500002,140306.4476000002
2017-11-01,1111432.54,1188829.7935,-77397.25349999992,276450.95525000023,-124239.5531333331
2017-12-01,931947.9,876159.3722333333,55788.52776666665,332239.48301666696,138591.14496666694
2018-01-01,1043970.63,1118536.2125833335,-74565.58258333348,257673.90043333353,-63859.06146666652
2018-02-01,943257.19,1000490.0603833334,-57232.870383333444,200441.03005000006,-30231.478949999902
2018-03-01,1197502.22,1182443.3848333333,15058.835166666679,215499.86521666654,-115406.17088333331
2018-04-01,1153015.38,1174599.2231,-21583.84310000014,193916.0221166663,-138805.3934166669
2018-05-01,1160099.94,1157828.4508333332,2271.489166666717,196187.511283333,-115182.09981666692
2018-06-01,1018874.09,1054582.28095,-35708.19095000013,160479.320333333,-100230.48795000033
2018-07-01,996701.8099999999,1023530.8672833334,-26829.05728333351,133650.26304999954,-203061.54410000052
